"state","district_file","status","district_name","nrecords"
"HP","Hamirpur.pdf","TRUE","Hamirpur",1
"HP","Kangra.pdf","TRUE","Kangra",1
"HP","Kullu.pdf","TRUE","Kullu",1
"HP","Lahul and Spiti.pdf","TRUE","Lahul and Spiti",1
"HP","Mandi.pdf","TRUE","Mandi",1
"HP","Bilaspur.pdf","TRUE","Bilaspur",4
"HP","Una.pdf","TRUE","Una",9
"HP","Chamba.pdf","TRUE","Chamba",23
"HP","Kinnaur.pdf","TRUE","Kinnaur",34
"HP","Shimla.pdf","TRUE","Shimla",34
"HP","Sirmaur.pdf","TRUE","Sirmaur",66
"HP","Solan.pdf","TRUE","Solan",72
"MH","Dhule.pdf","TRUE","Dhule",103
"AN","Nicobar.pdf","TRUE","Nicobar",104
"AN","North & Middle Andaman.pdf","TRUE","North & Middle Andaman",104
"AN","South Andaman.pdf","TRUE","South Andaman",104
"AP","Anantapur.pdf","TRUE","Anantapur",104
"AP","Chittoor.pdf","TRUE","Chittoor",104
"AP","East Godavari.pdf","TRUE","East Godavari",104
"AP","Guntur.pdf","TRUE","Guntur",104
"AP","Krishna.pdf","TRUE","Krishna",104
"AP","Kurnool.pdf","TRUE","Kurnool",104
"AP","Prakasam.pdf","TRUE","Prakasam",104
"AP","Sri Potti Sriramulu Nellore.pdf","TRUE","Sri Potti Sriramulu Nellore",104
"AP","Srikakulam.pdf","TRUE","Srikakulam",104
"AP","Visakhapatnam.pdf","TRUE","Visakhapatnam",104
"AP","Vizianagaram.pdf","TRUE","Vizianagaram",104
"AP","West Godavari.pdf","TRUE","West Godavari",104
"AP","Y.S.R..pdf","TRUE","Y.S.R.",104
"AS","Baksa.pdf","TRUE","Baksa",104
"AS","Barpeta.pdf","TRUE","Barpeta",104
"AS","Biswanath.pdf","TRUE","Biswanath",104
"AS","Bongaigaon.pdf","TRUE","Bongaigaon",104
"AS","Cachar.pdf","TRUE","Cachar",104
"AS","Charaideo.pdf","TRUE","Charaideo",104
"AS","Chirang.pdf","TRUE","Chirang",104
"AS","Darrang.pdf","TRUE","Darrang",104
"AS","Dhemaji.pdf","TRUE","Dhemaji",104
"AS","Dhubri.pdf","TRUE","Dhubri",104
"AS","Dibrugarh.pdf","TRUE","Dibrugarh",104
"AS","Dima Hasao.pdf","TRUE","Dima Hasao",104
"AS","Goalpara.pdf","TRUE","Goalpara",104
"AS","Golaghat.pdf","TRUE","Golaghat",104
"AS","Hailakandi.pdf","TRUE","Hailakandi",104
"AS","Hojai.pdf","TRUE","Hojai",104
"AS","Jorhat.pdf","TRUE","Jorhat",104
"AS","Kamrup.pdf","TRUE","Kamrup",104
"AS","Kamrup Metropolitan.pdf","TRUE","Kamrup Metropolitan",104
"AS","Karbi Anglong.pdf","TRUE","Karbi Anglong",104
"AS","Karimganj.pdf","TRUE","Karimganj",104
"AS","Kokrajhar.pdf","TRUE","Kokrajhar",104
"AS","Lakhimpur.pdf","TRUE","Lakhimpur",104
"AS","Majuli.pdf","TRUE","Majuli",104
"AS","Morigaon.pdf","TRUE","Morigaon",104
"AS","Nagaon.pdf","TRUE","Nagaon",104
"AS","Nalbari.pdf","TRUE","Nalbari",104
"AS","Sivasagar.pdf","TRUE","Sivasagar",104
"AS","Sonitpur.pdf","TRUE","Sonitpur",104
"AS","South Salmara Mancachar.pdf","TRUE","South Salmara Mancachar",104
"AS","Tinsukia.pdf","TRUE","Tinsukia",104
"AS","Udalguri.pdf","TRUE","Udalguri",104
"AS","West Karbi Anglong.pdf","TRUE","West Karbi Anglong",104
"BR","Araria.pdf","TRUE","Araria",104
"BR","Arwal.pdf","TRUE","Arwal",104
"BR","Aurangabad.pdf","TRUE","Aurangabad",104
"BR","Banka.pdf","TRUE","Banka",104
"BR","Begusarai.pdf","TRUE","Begusarai",104
"BR","Bhagalpur.pdf","TRUE","Bhagalpur",104
"BR","Bhojpur.pdf","TRUE","Bhojpur",104
"BR","Buxar.pdf","TRUE","Buxar",104
"BR","Darbhanga.pdf","TRUE","Darbhanga",104
"BR","Gaya.pdf","TRUE","Gaya",104
"BR","Gopalganj.pdf","TRUE","Gopalganj",104
"BR","Jamui.pdf","TRUE","Jamui",104
"BR","Jehanabad.pdf","TRUE","Jehanabad",104
"BR","Kaimur (Bhabua).pdf","TRUE","Kaimur (Bhabua)",104
"BR","Katihar.pdf","TRUE","Katihar",104
"BR","Khagaria.pdf","TRUE","Khagaria",104
"BR","Kishanganj.pdf","TRUE","Kishanganj",104
"BR","Lakhisarai.pdf","TRUE","Lakhisarai",104
"BR","Madhepura.pdf","TRUE","Madhepura",104
"BR","Madhubani.pdf","TRUE","Madhubani",104
"BR","Munger.pdf","TRUE","Munger",104
"BR","Muzaffarpur.pdf","TRUE","Muzaffarpur",104
"BR","Nalanda.pdf","TRUE","Nalanda",104
"BR","Nawada.pdf","TRUE","Nawada",104
"BR","Pashchim Champaran.pdf","TRUE","Pashchim Champaran",104
"BR","Patna.pdf","TRUE","Patna",104
"BR","Purba Champaran.pdf","TRUE","Purba Champaran",104
"BR","Purnia.pdf","TRUE","Purnia",104
"BR","Rohtas.pdf","TRUE","Rohtas",104
"BR","Saharsa.pdf","TRUE","Saharsa",104
"BR","Samastipur.pdf","TRUE","Samastipur",104
"BR","Saran.pdf","TRUE","Saran",104
"BR","Sheikhpura.pdf","TRUE","Sheikhpura",104
"BR","Sheohar.pdf","TRUE","Sheohar",104
"BR","Sitamarhi.pdf","TRUE","Sitamarhi",104
"BR","Siwan.pdf","TRUE","Siwan",104
"BR","Supaul.pdf","TRUE","Supaul",104
"BR","Vaishali.pdf","TRUE","Vaishali",104
"DD","Dadra & Nagar Haveli.pdf","TRUE","Dadra & Nagar Haveli",104
"DD","Daman.pdf","TRUE","Daman",104
"DD","Diu.pdf","TRUE","Diu",104
"GA","North Goa.pdf","TRUE","North Goa",104
"GA","South Goa.pdf","TRUE","South Goa",104
"GJ","Ahmedabad.pdf","TRUE","Ahmedabad",104
"GJ","Amreli.pdf","TRUE","Amreli",104
"GJ","Anand.pdf","TRUE","Anand",104
"GJ","Aravali.pdf","TRUE","Aravali",104
"GJ","Banaskantha.pdf","TRUE","Banaskantha",104
"GJ","Bharuch.pdf","TRUE","Bharuch",104
"GJ","Bhavnagar.pdf","TRUE","Bhavnagar",104
"GJ","Botad.pdf","TRUE","Botad",104
"GJ","Chhota Udaipur.pdf","TRUE","Chhota Udaipur",104
"GJ","Dahod.pdf","TRUE","Dahod",104
"GJ","Devbhumi Dwarka.pdf","TRUE","Devbhumi Dwarka",104
"GJ","Gandhinagar.pdf","TRUE","Gandhinagar",104
"GJ","Gir Somnath.pdf","TRUE","Gir Somnath",104
"GJ","Jamnagar.pdf","TRUE","Jamnagar",104
"GJ","Junagadh.pdf","TRUE","Junagadh",104
"GJ","Kachchh.pdf","TRUE","Kachchh",104
"GJ","Mahesana.pdf","TRUE","Mahesana",104
"GJ","Mahisagar.pdf","TRUE","Mahisagar",104
"GJ","Morbi.pdf","TRUE","Morbi",104
"GJ","Narmada.pdf","TRUE","Narmada",104
"GJ","Navsari.pdf","TRUE","Navsari",104
"GJ","Panchmahal.pdf","TRUE","Panchmahal",104
"GJ","Patan.pdf","TRUE","Patan",104
"GJ","Porbandar.pdf","TRUE","Porbandar",104
"GJ","Rajkot.pdf","TRUE","Rajkot",104
"GJ","Sabarkantha.pdf","TRUE","Sabarkantha",104
"GJ","Surat.pdf","TRUE","Surat",104
"GJ","Surendranagar.pdf","TRUE","Surendranagar",104
"GJ","Tapi.pdf","TRUE","Tapi",104
"GJ","The Dangs.pdf","TRUE","The Dangs",104
"GJ","Vadodara.pdf","TRUE","Vadodara",104
"GJ","Valsad.pdf","TRUE","Valsad",104
"JK","Anantnag.pdf","TRUE","Anantnag",104
"JK","Badgam.pdf","TRUE","Badgam",104
"JK","Bandipore.pdf","TRUE","Bandipore",104
"JK","Baramula.pdf","TRUE","Baramula",104
"JK","Doda.pdf","TRUE","Doda",104
"JK","Ganderbal.pdf","TRUE","Ganderbal",104
"JK","Jammu.pdf","TRUE","Jammu",104
"JK","Kathua.pdf","TRUE","Kathua",104
"JK","Kishtwar.pdf","TRUE","Kishtwar",104
"JK","Kulgam.pdf","TRUE","Kulgam",104
"JK","Kupwara.pdf","TRUE","Kupwara",104
"JK","Pulwama.pdf","TRUE","Pulwama",104
"JK","Punch.pdf","TRUE","Punch",104
"JK","Rajouri.pdf","TRUE","Rajouri",104
"JK","Ramban.pdf","TRUE","Ramban",104
"JK","Reasi.pdf","TRUE","Reasi",104
"JK","Samba.pdf","TRUE","Samba",104
"JK","Shupiyan.pdf","TRUE","Shupiyan",104
"JK","Srinagar.pdf","TRUE","Srinagar",104
"JK","Udhampur.pdf","TRUE","Udhampur",104
"KA","Bagalkot.pdf","TRUE","Bagalkot",104
"KA","Bangalore.pdf","TRUE","Bangalore",104
"KA","Bangalore Rural.pdf","TRUE","Bangalore Rural",104
"KA","Belgaum.pdf","TRUE","Belgaum",104
"KA","Bellary.pdf","TRUE","Bellary",104
"KA","Bidar.pdf","TRUE","Bidar",104
"KA","Bijapur.pdf","TRUE","Bijapur",104
"KA","Chamarajanagar.pdf","TRUE","Chamarajanagar",104
"KA","Chikkaballapura.pdf","TRUE","Chikkaballapura",104
"KA","Chikmagalur.pdf","TRUE","Chikmagalur",104
"KA","Chitradurga.pdf","TRUE","Chitradurga",104
"KA","Dakshina Kannada.pdf","TRUE","Dakshina Kannada",104
"KA","Davanagere.pdf","TRUE","Davanagere",104
"KA","Dharwad.pdf","TRUE","Dharwad",104
"KA","Gadag.pdf","TRUE","Gadag",104
"KA","Gulbarga.pdf","TRUE","Gulbarga",104
"KA","Hassan.pdf","TRUE","Hassan",104
"KA","Haveri.pdf","TRUE","Haveri",104
"KA","Kodagu.pdf","TRUE","Kodagu",104
"KA","Kolar.pdf","TRUE","Kolar",104
"KA","Koppal.pdf","TRUE","Koppal",104
"KA","Mandya.pdf","TRUE","Mandya",104
"KA","Mysore.pdf","TRUE","Mysore",104
"KA","Raichur.pdf","TRUE","Raichur",104
"KA","Ramanagara.pdf","TRUE","Ramanagara",104
"KA","Shimoga.pdf","TRUE","Shimoga",104
"KA","Tumkur.pdf","TRUE","Tumkur",104
"KA","Udupi.pdf","TRUE","Udupi",104
"KA","Uttara Kannada.pdf","TRUE","Uttara Kannada",104
"KA","Yadgir.pdf","TRUE","Yadgir",104
"KL","Alappuzha.pdf","TRUE","Alappuzha",104
"KL","Ernakulam.pdf","TRUE","Ernakulam",104
"KL","Idukki.pdf","TRUE","Idukki",104
"KL","Kannur.pdf","TRUE","Kannur",104
"KL","Kasaragod.pdf","TRUE","Kasaragod",104
"KL","Kollam.pdf","TRUE","Kollam",104
"KL","Kottayam.pdf","TRUE","Kottayam",104
"KL","Kozhikode.pdf","TRUE","Kozhikode",104
"KL","Malappuram.pdf","TRUE","Malappuram",104
"KL","Palakkad.pdf","TRUE","Palakkad",104
"KL","Pathanamthitta.pdf","TRUE","Pathanamthitta",104
"KL","Thiruvananthapuram.pdf","TRUE","Thiruvananthapuram",104
"KL","Thrissur.pdf","TRUE","Thrissur",104
"KL","Wayanad.pdf","TRUE","Wayanad",104
"LH","Kargil.pdf","TRUE","Kargil",104
"LH","Leh (Ladakh).pdf","TRUE","Leh (Ladakh)",104
"MH","Ahmednagar.pdf","TRUE","Ahmednagar",104
"MH","Akola.pdf","TRUE","Akola",104
"MH","Amravati.pdf","TRUE","Amravati",104
"MH","Aurangabad.pdf","TRUE","Aurangabad",104
"MH","Bid.pdf","TRUE","Bid",104
"MH","Bhandara.pdf","TRUE","Bhandara",104
"MH","Buldana.pdf","TRUE","Buldana",104
"MH","Chandrapur.pdf","TRUE","Chandrapur",104
"MH","Gadchiroli.pdf","TRUE","Gadchiroli",104
"MH","Gondiya.pdf","TRUE","Gondiya",104
"MH","Hingoli.pdf","TRUE","Hingoli",104
"MH","Jalgaon.pdf","TRUE","Jalgaon",104
"MH","Jalna.pdf","TRUE","Jalna",104
"MH","Kolhapur.pdf","TRUE","Kolhapur",104
"MH","Latur.pdf","TRUE","Latur",104
"MH","Mumbai.pdf","TRUE","Mumbai",104
"MH","Mumbai Suburban.pdf","TRUE","Mumbai Suburban",104
"MH","Nagpur.pdf","TRUE","Nagpur",104
"MH","Nanded.pdf","TRUE","Nanded",104
"MH","Nandurbar.pdf","TRUE","Nandurbar",104
"MH","Nashik.pdf","TRUE","Nashik",104
"MH","Osmanabad.pdf","TRUE","Osmanabad",104
"MH","Palghar.pdf","TRUE","Palghar",104
"MH","Parbhani.pdf","TRUE","Parbhani",104
"MH","Pune.pdf","TRUE","Pune",104
"MH","Raigarh.pdf","TRUE","Raigarh",104
"MH","Ratnagiri.pdf","TRUE","Ratnagiri",104
"MH","Sangli.pdf","TRUE","Sangli",104
"MH","Satara.pdf","TRUE","Satara",104
"MH","Sindhudurg.pdf","TRUE","Sindhudurg",104
"MH","Solapur.pdf","TRUE","Solapur",104
"MH","Thane.pdf","TRUE","Thane",104
"MH","Wardha.pdf","TRUE","Wardha",104
"MH","Washim.pdf","TRUE","Washim",104
"MH","Yavatmal.pdf","TRUE","Yavatmal",104
"MN","Bishnupur.pdf","TRUE","Bishnupur",104
"MN","Chandel.pdf","TRUE","Chandel",104
"MN","Churachandpur.pdf","TRUE","Churachandpur",104
"MN","Imphal East.pdf","TRUE","Imphal East",104
"MN","Imphal West.pdf","TRUE","Imphal West",104
"MN","Senapati.pdf","TRUE","Senapati",104
"MN","Tamenglong.pdf","TRUE","Tamenglong",104
"MN","Thoubal.pdf","TRUE","Thoubal",104
"MN","Ukhrul.pdf","TRUE","Ukhrul",104
"ML","East Garo Hills.pdf","TRUE","East Garo Hills",104
"ML","East Jaintia Hills.pdf","TRUE","East Jaintia Hills",104
"ML","East Khasi Hills.pdf","TRUE","East Khasi Hills",104
"ML","North Garo Hills.pdf","TRUE","North Garo Hills",104
"ML","Ribhoi.pdf","TRUE","Ribhoi",104
"ML","South Garo Hills.pdf","TRUE","South Garo Hills",104
"ML","South West Garo Hills.pdf","TRUE","South West Garo Hills",104
"ML","South West Khasi Hills.pdf","TRUE","South West Khasi Hills",104
"ML","West Garo Hills.pdf","TRUE","West Garo Hills",104
"ML","West Jaintia Hills.pdf","TRUE","West Jaintia Hills",104
"ML","West Khasi Hills.pdf","TRUE","West Khasi Hills",104
"MZ","Aizawl.pdf","TRUE","Aizawl",104
"MZ","Champhai.pdf","TRUE","Champhai",104
"MZ","Kolasib.pdf","TRUE","Kolasib",104
"MZ","Lawngtlai.pdf","TRUE","Lawngtlai",104
"MZ","Lunglei.pdf","TRUE","Lunglei",104
"MZ","Mamit.pdf","TRUE","Mamit",104
"MZ","Saiha.pdf","TRUE","Saiha",104
"MZ","Serchhip.pdf","TRUE","Serchhip",104
"NL","Dimapur.pdf","TRUE","Dimapur",104
"NL","Kiphire.pdf","TRUE","Kiphire",104
"NL","Kohima.pdf","TRUE","Kohima",104
"NL","Longleng.pdf","TRUE","Longleng",104
"NL","Mokokchung.pdf","TRUE","Mokokchung",104
"NL","Mon.pdf","TRUE","Mon",104
"NL","Peren.pdf","TRUE","Peren",104
"NL","Phek.pdf","TRUE","Phek",104
"NL","Tuensang.pdf","TRUE","Tuensang",104
"NL","Wokha.pdf","TRUE","Wokha",104
"NL","Zunheboto.pdf","TRUE","Zunheboto",104
"SK","East District.pdf","TRUE","East District",104
"SK","North District.pdf","TRUE","North District",104
"SK","South District.pdf","TRUE","South District",104
"SK","West District.pdf","TRUE","West District",104
"TG","Adilabad.pdf","TRUE","Adilabad",104
"TG","Bhadradri Kothagudem.pdf","TRUE","Bhadradri Kothagudem",104
"TG","Hyderabad.pdf","TRUE","Hyderabad",104
"TG","Jagitial.pdf","TRUE","Jagitial",104
"TG","Jangoan.pdf","TRUE","Jangoan",104
"TG","Jayashankar Bhupalapally.pdf","TRUE","Jayashankar Bhupalapally",104
"TG","Jogulamba Gadwal.pdf","TRUE","Jogulamba Gadwal",104
"TG","Kamareddy.pdf","TRUE","Kamareddy",104
"TG","Karimnagar.pdf","TRUE","Karimnagar",104
"TG","Khammam.pdf","TRUE","Khammam",104
"TG","Komaram Bheem Asifabad.pdf","TRUE","Komaram Bheem Asifabad",104
"TG","Mahabubabad.pdf","TRUE","Mahabubabad",104
"TG","Mahabubnagar.pdf","TRUE","Mahabubnagar",104
"TG","Mancherial.pdf","TRUE","Mancherial",104
"TG","Medak.pdf","TRUE","Medak",104
"TG","Medchal-Malkajgiri.pdf","TRUE","Medchal-Malkajgiri",104
"TG","Nagarkurnool.pdf","TRUE","Nagarkurnool",104
"TG","Nalgonda.pdf","TRUE","Nalgonda",104
"TG","Nirmal.pdf","TRUE","Nirmal",104
"TG","Nizamabad.pdf","TRUE","Nizamabad",104
"TG","Peddapalli.pdf","TRUE","Peddapalli",104
"TG","Rajanna Sircilla.pdf","TRUE","Rajanna Sircilla",104
"TG","Ranga Reddy.pdf","TRUE","Ranga Reddy",104
"TG","Sangareddy.pdf","TRUE","Sangareddy",104
"TG","Siddipet.pdf","TRUE","Siddipet",104
"TG","Suryapet.pdf","TRUE","Suryapet",104
"TG","Vikarabad.pdf","TRUE","Vikarabad",104
"TG","Wanaparthy.pdf","TRUE","Wanaparthy",104
"TG","Warangal Rural.pdf","TRUE","Warangal Rural",104
"TG","Warangal Urban.pdf","TRUE","Warangal Urban",104
"TG","Yadadri Bhuvanagiri.pdf","TRUE","Yadadri Bhuvanagiri",104
"TR","Dhalai.pdf","TRUE","Dhalai",104
"TR","Gomati.pdf","TRUE","Gomati",104
"TR","Khowai.pdf","TRUE","Khowai",104
"TR","North Tripura.pdf","TRUE","North Tripura",104
"TR","Sepahijala.pdf","TRUE","Sepahijala",104
"TR","South Tripura.pdf","TRUE","South Tripura",104
"TR","Unakoti.pdf","TRUE","Unakoti",104
"TR","West Tripura.pdf","TRUE","West Tripura",104
"WB","Bankura.pdf","TRUE","Bankura",104
"WB","Birbhum.pdf","TRUE","Birbhum",104
"WB","Dakshin Dinajpur.pdf","TRUE","Dakshin Dinajpur",104
"WB","Darjeeling.pdf","TRUE","Darjeeling",104
"WB","Haora.pdf","TRUE","Haora",104
"WB","Hugli.pdf","TRUE","Hugli",104
"WB","Jalpaiguri.pdf","TRUE","Jalpaiguri",104
"WB","Koch Bihar.pdf","TRUE","Koch Bihar",104
"WB","Kolkata.pdf","TRUE","Kolkata",104
"WB","Maldah.pdf","TRUE","Maldah",104
"WB","Murshidabad.pdf","TRUE","Murshidabad",104
"WB","Nadia.pdf","TRUE","Nadia",104
"WB","North Twenty Four Parganas.pdf","TRUE","North Twenty Four Parganas",104
"WB","Paschim Barddhaman.pdf","TRUE","Paschim Barddhaman",104
"WB","Paschim Medinipur.pdf","TRUE","Paschim Medinipur",104
"WB","Purba Barddhaman.pdf","TRUE","Purba Barddhaman",104
"WB","Purba Medinipur.pdf","TRUE","Purba Medinipur",104
"WB","Puruliya.pdf","TRUE","Puruliya",104
"WB","South Twenty Four Parganas.pdf","TRUE","South Twenty Four Parganas",104
"WB","Uttar Dinajpur.pdf","TRUE","Uttar Dinajpur",104
"GJ","Kheda.pdf","TRUE","Kheda",105
